iter	Passed	Remaining
894	10126	1188
895	10137	1176
896	10147	1165
897	10157	1153
898	10171	1142
899	10178	1130
900	10187	1119
901	10197	1107
902	10208	1096
903	10217	1085
904	10226	1073
905	10235	1061
906	10243	1050
907	10254	1038
908	10269	1028
909	10279	1016
910	10287	1005
911	10296	993
912	10304	981
913	10316	970
914	10327	959
915	10336	947
916	10353	937
917	10365	925
918	10376	914
919	10384	903
920	10393	891
921	10403	880
922	10413	868
923	10423	857
924	10432	845
925	10440	834
926	10449	822
927	10458	811
928	10467	800
929	10478	788
930	10485	777
931	10494	765
932	10501	754
933	10510	742
934	10517	731
935	10527	719
936	10535	708
937	10544	696
938	10551	685
939	10559	673
940	10565	662
941	10573	651
942	10580	639
943	10589	628
944	10598	616
945	10606	605
946	10616	594
947	10624	582
948	10631	571
949	10638	559
950	10647	548
951	10655	537
952	10663	525
953	10671	514
954	10678	503
955	10693	492
956	10706	481
957	10718	469
958	10729	458
959	10741	447
960	10757	436
961	10765	425
962	10773	413
963	10783	402
964	10791	391
965	10798	380
966	10805	368
967	10812	357
968	10821	346
969	10827	334
970	10835	323
971	10843	312
972	10850	301
973	10857	289
974	10863	278
975	10872	267
976	10880	256
977	10891	244
978	10897	233
979	10910	222
980	10922	211
981	10942	200
982	10965	189
983	10970	178
984	10975	167
985	10982	155
986	10988	144
987	10994	133
988	991	10996	989992	11009	77
993	11992	110994	11993	11052	66
994	11067	55
995	110997	11996	119998	11997	119999	11998	11997	110999	11113	0
109	11
999	11115	0
