iter	Passed	Remaining
835	9602	1883
836	9613	1872
837	9623	1860
838	9633	1848
839	9642	1836
840	9652	1824
841	9662	1813
842	9671	1801
843	9680	1789
844	9691	1777
845	9702	1766
846	9712	1754
847	9724	1743
848	9736	1731
849	9746	1719
850	9759	1708
851	9768	1696
852	9778	1685
853	9790	1673
854	9801	1662
855	9813	1650
856	9823	1639
857	9831	1627
858	9844	1615
859	9854	1604
860	9862	1592
861	9872	1580
862	9883	1568
863	9891	1557
864	9902	1545
865	9913	1533
866	9922	1522
867	9931	1510
868	9942	1498
869	9950	1486
870	9959	1475
871	9970	1463
872	9980	1451
873	9993	1440
874	10004	1429
875	10012	1417
876	10025	1406
877	10037	1394
878	10052	1383
879	10064	1372
880	10075	1360
881	10086	1349
882	10098	1338
883	10109	1326
884	10126	1315
885	10139	1304
886	10151	1293
887	10163	1281
888	10178	1270
889	10188	1259
890	10200	1247
891	10211	1236
892	10224	1225
893	10235	1213
894	10246	1202
895	10259	1190
896	10272	1179
897	10283	1168
898	10296	1156
899	10305	1145
900	10317	1133
901	10330	1122
902	10342	1110
903	10353	1099
904	10364	1087
905	10376	1076
906	10384	1064
907	10397	1053
908	10403	1041
909	10411	1029
910	10423	1018
911	10434	1006
912	10446	995
913	10457	983
914	10467	972
915	10477	960
916	10485	949
917	10496	937
918	10507	926
919	10518	914
920	10529	903
921	10539	891
922	10549	880
923	10559	868
924	10573	857
925	10584	845
926	10594	834
927	10603	822
928	10615	811
929	10626	799
930	10636	788
931	10644	776
932	10654	765
933	10665	753
934	10676	742
935	10686	730
936	10698	719
937	10708	707
938	10718	696
939	10727	684
940	10737	673
941	10749	661
942	10767	650
943	10777	639
944	10788	627
945	10797	616
946	10808	604
947	10818	593
948	10829	581
949	10843	570
950	10856	559
951	10867	547
952	10877	536
953	10889	525
954	10902	513
955	10918	502
956	10932	491
957	10941	479
958	10950	468
959	10962	456
960	10968	445
961	10979	433
962	10988	422
963	10998	410
964	11007	399
965	11014	387
966	11025	376
